ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"138.186.93.4","elite","AS263124","BR","ZAP TELECOM LTDA","215","ZAP TELECOM LTDA","5678","socks4","3897","1","2023-07-12T06:26:34.449Z","69","1977","2860"
"118.97.235.36","elite","AS7713","ID","PT. TELKOM INDONESIA","217","N/A","4145","socks4","4604","1","2023-07-12T06:26:29.234Z","99","2794","2814"
"216.107.129.214","elite","AS61317","US","Ipxo LLC","96","N/A","10180","socks5","5102","1","2023-07-12T06:26:29.239Z","100","2779","2780"
"5.22.154.50","elite","AS60829","SK","NEVERNET, s.r.o.","36","NEVERNET, s.r.o","32127","socks4","4410","1","2023-07-12T06:26:29.146Z","99","2835","2852"
"202.21.102.68","elite","AS9484","MN","Mobinet LLC","119","N/A","5678","socks4","4789","1","2023-07-12T06:26:29.232Z","98","2806","2859"
"51.195.209.238","elite","AS16276","GB","OVH SAS","9","Canya Eric","1080","socks5","3403","1","2023-07-12T06:26:29.237Z","92","2615","2831"
"186.251.255.249","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","206","Seanet Telecom Carazinho Eireli","31337","socks4","3197","1","2023-07-12T06:26:29.140Z","99","2795","2832"
"116.202.192.120","elite","AS24940","DE","Hetzner","23","N/A","10002","socks4","5004","1","2023-07-12T06:26:29.235Z","99","2715","2733"
"103.199.97.17","elite","AS45804","IN","New Shivam Cable Network","171","N/A","39825","socks4","4198","1","2023-07-12T06:26:29.142Z","96","2708","2820"
"177.72.82.9","elite","AS262543","BR","Brmom Construindo Conexoes Ltda","294","Brmom Construindo Conexoes Ltda","5678","socks4","2003","1","2023-07-12T06:26:23.940Z","100","2856","2861"
"27.123.1.33","elite","AS45706","ID","PT Tele Globe Global","196","N/A","4153","socks4","5003","1","2023-07-12T06:26:23.944Z","100","2852","2861"
"177.38.5.45","elite","AS52964","BR","FÔBIO MENDES DIAS LTDA ME","279","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4910","1","2023-07-12T06:26:18.640Z","98","2778","2833"
"202.159.30.9","elite","AS9340","ID","PT IndoInternet","161","N/A","443","socks4","4414","1","2023-07-12T06:26:18.638Z","100","2746","2758"
"96.9.86.218","elite","AS131207","KH","SIGROUPS","230","N/A","5678","socks4","4806","1","2023-07-12T06:26:18.645Z","98","2760","2823"
"109.122.80.234","elite","AS41937","RS","RADIJUS VEKTOR Internet network","37","Radijus Vektor DOO","57553","socks4","137","1","2023-07-12T06:26:18.641Z","99","2839","2855"
"185.169.181.19","elite","AS34984","TR","Ates Dc","199","Ibrahim MALA trading as Ates Dc","4145","socks4","3906","1","2023-07-12T06:26:18.738Z","100","2815","2815"
"45.56.112.189","elite","AS63949","US","Akamai Technologies, Inc.","98","Linode","7497","socks5","4094","1","2023-07-12T06:26:18.642Z","100","2802","2804"
"186.10.102.218","elite","AS27651","CL","Entel Chile S.A.","266","Entel Chile S.A","5678","socks4","4715","1","2023-07-12T06:26:13.541Z","98","2715","2765"
"178.245.152.117","elite","AS16135","TR","Turkcell Internet","83","N/A","3128","socks4","156","1","2023-07-12T06:26:13.636Z","33","924","2776"
"185.6.10.141","elite","AS12552","SE","GlobalConnect AB","33","Internet Vikings International AB","38929","socks5","4596","81","2023-07-12T06:26:13.637Z","100","2759","2763"
"140.250.92.253","elite","AS4134","CN","Chinanet","295","Chinanet SD","1080","socks4","894","1","2023-07-12T06:26:08.234Z","73","2077","2841"
"174.138.176.78","elite","AS19318","US","Interserver, Inc","83","Interserver, Inc","17941","socks4","4892","1","2023-07-12T06:26:08.235Z","100","2772","2779"
"115.186.139.69","elite","AS23674","PK","Nayatel (Pvt) Ltd","151","Nayatel","5678","socks4","4991","1","2023-07-12T06:26:08.146Z","99","2775","2793"
"122.4.52.86","elite","AS4134","CN","Chinanet","199","Chinanet SD","10003","socks5","3212","1","2023-07-12T06:26:08.147Z","23","644","2847"
"157.245.62.1","elite","AS14061","SG","DigitalOcean, LLC","189","DigitalOcean, LLC","9050","socks4","5002","1","2023-07-12T06:26:08.148Z","99","2835","2850"
"80.73.87.202","elite","AS21487","RU","Sakhatelecom","192","N/A","4153","socks4","5091","1","2023-07-12T06:26:00.939Z","94","2670","2855"
"177.38.5.254","elite","AS52964","BR","FÔBIO MENDES DIAS LTDA ME","292","FÁBIO MENDES DIAS LTDA ME","4153","socks4","3599","1","2023-07-12T06:26:00.940Z","85","2430","2854"
"45.196.151.43","elite","AS7018","US","AT&T Services","81","AQUA Networks Limited","5432","socks4","5103","1","2023-07-12T06:26:00.936Z","97","2706","2791"
"149.20.253.40","elite","AS18615","US","Mainstream Fiber Networks, LLC","101","Mainstream Fiber Networks, LLC","12551","socks4","4995","1","2023-07-12T06:25:56.143Z","100","2816","2820"
"106.3.142.85","elite","AS23724","CN","IDC, China Telecommunications Corporation","186","Beijing capitalonline data service co., LTD","4153","socks4","4607","1","2023-07-12T06:25:56.035Z","75","2156","2858"
"159.65.245.126","elite","AS14061","US","DigitalOcean, LLC","82","Digital Ocean","7497","socks5","4597","1","2023-07-12T06:25:56.146Z","98","2744","2805"
"185.220.87.150","elite","AS205375","ES","Jose Antonio Ruiz Zamore","37","N/A","4153","socks4","2902","1","2023-07-12T06:25:56.145Z","99","2824","2853"
"176.31.226.57","elite","AS16276","FR","OVH SAS","5","OVH ISP","53499","socks5","2699","1","2023-07-12T06:25:56.148Z","100","2854","2854"
"182.253.166.170","elite","AS17451","ID","BIZNET","189","N/A","5678","socks4","3913","1","2023-07-12T06:25:56.036Z","97","2785","2857"
"93.103.8.183","elite","AS34779","SI","T-2 d.o.o.","40","N/A","4153","socks4","5002","83","2023-07-12T06:25:56.046Z","99","2823","2851"
"45.7.177.249","elite","AS266626","BR","Litoral Telecom","292","Litoral Telecom","39867","socks4","4401","1","2023-07-12T06:25:50.651Z","99","2825","2850"
"189.126.14.226","elite","AS270316","BR","NET NOVO TEMPO","219","NET NOVO TEMPO","1080","socks4","3805","1","2023-07-12T06:25:50.648Z","100","2846","2859"
"45.112.125.51","elite","AS58369","ID","FIBERNET","187","N/A","4145","socks4","3602","1","2023-07-12T06:25:50.735Z","99","2813","2845"
"144.76.163.25","elite","AS24940","DE","Hetzner Online GmbH","26","Hetzner","21364","socks5","1897","1","2023-07-12T06:25:50.742Z","100","2841","2843"
"178.154.228.16","elite","AS200350","RU","Yandex Cloud","49","N/A","9050","socks5","3912","1","2023-07-12T06:25:50.737Z","100","2861","2862"
"104.18.44.93","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4717","1","2023-07-12T06:25:45.446Z","100","2738","2738"
"37.1.211.58","elite","AS29802","US","DARL-TELECOM","96","ISPIRIA Networks Ltd","1080","socks4","4801","1","2023-07-12T06:25:45.441Z","99","2802","2823"
"47.242.18.103","elite","AS45102","HK","Alibaba.com LLC","260","Hong Kong","61507","socks5","4989","1","2023-07-12T06:25:45.439Z","85","2400","2813"
"5.39.19.152","elite","AS16276","FR","OVH ISP","5","Caunes Sebastien","46529","socks5","2901","1","2023-07-12T06:25:45.539Z","100","2844","2845"
"212.69.12.193","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","80","Orion Telekom Tim d.o.o.Beograd","1080","socks4","4600","1","2023-07-12T06:25:45.444Z","100","2831","2833"
"157.245.157.72","elite","AS14061","SG","DigitalOcean, LLC","189","DigitalOcean, LLC","60490","socks4","4298","1","2023-07-12T06:25:40.038Z","93","2599","2799"
"190.111.238.127","elite","AS11014","AR","CPS","232","CPS","49017","socks4","3411","1","2023-07-12T06:25:40.038Z","99","2806","2825"
"216.107.129.135","elite","AS61317","US","Ipxo LLC","96","N/A","10180","socks5","1690","1","2023-07-12T06:25:40.050Z","100","2789","2789"
"200.152.100.194","elite","AS21571","BR","MLS Wireless S/A","289","MLS Projetos de Informatica","1080","socks5","4809","1","2023-07-12T06:25:40.037Z","93","2611","2802"
"175.100.72.95","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","186","Viettel (cambodia) Pte., Ltd.","55360","socks4","4707","1","2023-07-12T06:25:40.034Z","95","2619","2744"
"152.32.78.24","elite","AS17639","PH","ComClark Network & Technology Corp","197","Convergeict","4145","socks4","4903","1","2023-07-12T06:25:40.042Z","99","2841","2856"
"103.240.33.161","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","188","Vihaan","8291","socks4","1399","1","2023-07-12T06:25:40.035Z","98","2809","2855"
"45.228.147.209","elite","AS262773","BR","Proxxima Telecomunicacoes Ltda","283","Proxxima Telecomunicacoes Ltda","5678","socks4","4292","1","2023-07-12T06:25:40.041Z","91","2604","2862"
"104.19.138.4","elite","AS13335","US","Cloudflare, Inc.","82","Cloudflare, Inc.","80","socks4","5287","1","2023-07-12T06:25:39.951Z","100","2773","2773"
"103.47.93.221","elite","AS134058","IN","Broban Internet Services Pvt.ltd","187","Broban  PVT Ltd.","1080","socks4","2900","1","2023-07-12T06:25:34.641Z","99","2825","2846"
"193.106.73.102","elite","AS50283","RU","Business Center Ltd","50","Business Center Nov Ltd","41883","socks4","4208","1","2023-07-12T06:25:34.646Z","96","2666","2783"
